ts,symbol,equity
2025-06-18 03:00:00+00:00,BTCUSD_1H,100000.0
2025-06-18 04:00:00+00:00,BTCUSD_1H,99914.96932253313
2025-06-18 05:00:00+00:00,BTCUSD_1H,99895.09924253314
2025-06-18 18:00:00+00:00,BTCUSD_1H,99865.00792463362
2025-06-18 19:00:00+00:00,BTCUSD_1H,99779.71478063361
2025-06-18 20:00:00+00:00,BTCUSD_1H,99814.97331367484
2025-06-18 21:00:00+00:00,BTCUSD_1H,99946.66447967484
2025-06-18 22:00:00+00:00,BTCUSD_1H,99821.98374367483
2025-06-18 23:00:00+00:00,BTCUSD_1H,99850.75512067485
2025-06-19 00:00:00+00:00,BTCUSD_1H,99889.08357367484
2025-06-19 03:00:00+00:00,BTCUSD_1H,99952.95955967484
2025-06-19 04:00:00+00:00,BTCUSD_1H,99943.36433167483
2025-06-19 05:00:00+00:00,BTCUSD_1H,99852.43857767484
2025-06-19 09:00:00+00:00,BTCUSD_1H,99903.29996267484
2025-06-19 10:00:00+00:00,BTCUSD_1H,99863.26897667484
2025-06-19 11:00:00+00:00,BTCUSD_1H,99796.77004067483
2025-06-19 16:00:00+00:00,BTCUSD_1H,99765.00950409877
2025-06-19 19:00:00+00:00,BTCUSD_1H,99651.72727809877
2025-06-20 01:00:00+00:00,BTCUSD_1H,99714.96696897011
2025-06-20 07:00:00+00:00,BTCUSD_1H,100206.38951097011
2025-06-20 08:00:00+00:00,BTCUSD_1H,100274.30469597012
2025-06-20 09:00:00+00:00,BTCUSD_1H,100265.43063597011
2025-06-20 10:00:00+00:00,BTCUSD_1H,100273.57950397012
2025-06-20 11:00:00+00:00,BTCUSD_1H,100284.49555197012
2025-06-20 12:00:00+00:00,BTCUSD_1H,100280.85050797011
2025-06-20 14:00:00+00:00,BTCUSD_1H,99665.00474981962
2025-06-20 15:00:00+00:00,BTCUSD_1H,99513.11185781962
2025-06-20 16:00:00+00:00,BTCUSD_1H,99778.64538081962
2025-06-20 17:00:00+00:00,BTCUSD_1H,99975.36235981961
2025-06-20 18:00:00+00:00,BTCUSD_1H,100016.68884981962
2025-06-20 19:00:00+00:00,BTCUSD_1H,99954.67024881962
2025-06-20 22:00:00+00:00,BTCUSD_1H,100050.45725881962
2025-06-20 23:00:00+00:00,BTCUSD_1H,99958.77403181962
2025-06-21 00:00:00+00:00,BTCUSD_1H,99976.93555681962
2025-06-21 04:00:00+00:00,BTCUSD_1H,99912.06403281962
2025-06-21 05:00:00+00:00,BTCUSD_1H,99894.36436381962
2025-06-21 07:00:00+00:00,BTCUSD_1H,99883.01040381962
2025-06-21 17:00:00+00:00,BTCUSD_1H,100011.06479081963
2025-06-21 18:00:00+00:00,BTCUSD_1H,100263.59899181963
2025-06-21 19:00:00+00:00,BTCUSD_1H,100461.56201981963
2025-06-21 21:00:00+00:00,BTCUSD_1H,100843.38703481962
2025-06-21 22:00:00+00:00,BTCUSD_1H,100683.77729881962
2025-06-22 13:00:00+00:00,BTCUSD_1H,101129.99754881962
2025-06-22 14:00:00+00:00,BTCUSD_1H,101718.15192081963
2025-06-22 15:00:00+00:00,BTCUSD_1H,102059.97828181963
2025-06-22 16:00:00+00:00,BTCUSD_1H,101699.83644381961
2025-06-22 17:00:00+00:00,BTCUSD_1H,101785.27018181962
2025-06-22 18:00:00+00:00,BTCUSD_1H,101812.95748681962
2025-06-22 19:00:00+00:00,BTCUSD_1H,102077.08619781962
2025-06-22 20:00:00+00:00,BTCUSD_1H,101763.49078481962
2025-06-22 21:00:00+00:00,BTCUSD_1H,101933.00155881963
2025-06-22 22:00:00+00:00,BTCUSD_1H,99614.9643031819
2025-06-22 23:00:00+00:00,BTCUSD_1H,99605.22765318191
2025-06-23 00:00:00+00:00,BTCUSD_1H,99586.57110318191
2025-06-23 01:00:00+00:00,BTCUSD_1H,99681.05670318191
2025-06-23 02:00:00+00:00,BTCUSD_1H,99768.4143031819
2025-06-23 03:00:00+00:00,BTCUSD_1H,99705.77700318191
2025-06-23 04:00:00+00:00,BTCUSD_1H,99713.22675318191
2025-06-23 05:00:00+00:00,BTCUSD_1H,100005.08370318191
2025-06-23 06:00:00+00:00,BTCUSD_1H,100090.4316031819
2025-06-23 07:00:00+00:00,BTCUSD_1H,100089.9267031819
2025-06-23 08:00:00+00:00,BTCUSD_1H,100053.91545318191
2025-06-23 09:00:00+00:00,BTCUSD_1H,99901.28220318191
2025-06-23 10:00:00+00:00,BTCUSD_1H,99854.1631531819
2025-06-23 11:00:00+00:00,BTCUSD_1H,99769.38945318191
2025-06-23 12:00:00+00:00,BTCUSD_1H,99961.9989031819
2025-06-23 13:00:00+00:00,BTCUSD_1H,100299.0988531819
2025-06-23 14:00:00+00:00,BTCUSD_1H,99943.11465318191
2025-06-23 15:00:00+00:00,BTCUSD_1H,99844.29780318191
2025-06-23 17:00:00+00:00,BTCUSD_1H,100375.79910318191
2025-06-23 18:00:00+00:00,BTCUSD_1H,100599.0886531819
2025-06-23 19:00:00+00:00,BTCUSD_1H,100717.4827531819
2025-06-23 20:00:00+00:00,BTCUSD_1H,100993.4848531819
2025-06-23 21:00:00+00:00,BTCUSD_1H,100974.4471531819
2025-06-23 22:00:00+00:00,BTCUSD_1H,101899.5675031819
2025-06-23 23:00:00+00:00,BTCUSD_1H,101794.37505318191
2025-06-24 00:00:00+00:00,BTCUSD_1H,101689.56870318191
2025-06-24 01:00:00+00:00,BTCUSD_1H,101847.2311531819
2025-06-24 02:00:00+00:00,BTCUSD_1H,101508.5571031819
2025-06-24 03:00:00+00:00,BTCUSD_1H,101584.8564031819
2025-06-24 04:00:00+00:00,BTCUSD_1H,101536.58895318191
2025-06-24 05:00:00+00:00,BTCUSD_1H,101823.0900031819
2025-06-24 06:00:00+00:00,BTCUSD_1H,101952.3988531819
2025-06-24 07:00:00+00:00,BTCUSD_1H,101585.41575318191
2025-06-24 08:00:00+00:00,BTCUSD_1H,101626.3522531819
2025-06-24 09:00:00+00:00,BTCUSD_1H,101722.0654531819
2025-06-24 10:00:00+00:00,BTCUSD_1H,101754.5919031819
2025-06-24 11:00:00+00:00,BTCUSD_1H,101705.8393531819
2025-06-24 12:00:00+00:00,BTCUSD_1H,101716.6699531819
2025-06-24 13:00:00+00:00,BTCUSD_1H,101653.57725318191
2025-06-24 14:00:00+00:00,BTCUSD_1H,101878.0894531819
2025-06-24 15:00:00+00:00,BTCUSD_1H,101735.27700318191
2025-06-24 16:00:00+00:00,BTCUSD_1H,102222.64410318191
2025-06-24 17:00:00+00:00,BTCUSD_1H,102142.9491031819
2025-06-24 18:00:00+00:00,BTCUSD_1H,101876.19855318191
2025-06-24 20:00:00+00:00,BTCUSD_1H,102153.87870318191
2025-06-24 21:00:00+00:00,BTCUSD_1H,102097.6170031819
2025-06-24 22:00:00+00:00,BTCUSD_1H,102118.4070031819
2025-06-24 23:00:00+00:00,BTCUSD_1H,102151.57200318191
2025-06-25 00:00:00+00:00,BTCUSD_1H,102305.4625531819
2025-06-25 01:00:00+00:00,BTCUSD_1H,102303.1162531819
2025-06-25 02:00:00+00:00,BTCUSD_1H,102347.86920318191
2025-06-25 03:00:00+00:00,BTCUSD_1H,102230.9898031819
2025-06-25 05:00:00+00:00,BTCUSD_1H,102215.8081531819
2025-06-25 06:00:00+00:00,BTCUSD_1H,102309.82845318191
2025-06-25 07:00:00+00:00,BTCUSD_1H,102407.16525318191
2025-06-25 08:00:00+00:00,BTCUSD_1H,102422.3370031819
2025-06-25 09:00:00+00:00,BTCUSD_1H,102431.65290318191
2025-06-25 10:00:00+00:00,BTCUSD_1H,102670.9705531819
2025-06-25 11:00:00+00:00,BTCUSD_1H,102701.53680318191
2025-06-25 12:00:00+00:00,BTCUSD_1H,102721.07445318191
2025-06-25 13:00:00+00:00,BTCUSD_1H,103069.53465318191
2025-06-25 14:00:00+00:00,BTCUSD_1H,102924.76200318191
2025-06-25 16:00:00+00:00,BTCUSD_1H,102682.41495318191
2025-06-25 17:00:00+00:00,BTCUSD_1H,102807.1203031819
2025-06-25 18:00:00+00:00,BTCUSD_1H,102820.3170031819
2025-06-25 19:00:00+00:00,BTCUSD_1H,102990.5970031819
2025-06-25 20:00:00+00:00,BTCUSD_1H,102995.73015318191
2025-06-26 02:00:00+00:00,BTCUSD_1H,103067.26755318191
2025-06-26 03:00:00+00:00,BTCUSD_1H,103036.2211531819
2025-06-26 04:00:00+00:00,BTCUSD_1H,103022.9007031819
2025-06-26 07:00:00+00:00,BTCUSD_1H,103017.44580318191
2025-06-26 13:00:00+00:00,BTCUSD_1H,99565.00812204469
2025-06-26 19:00:00+00:00,BTCUSD_1H,99514.97950381474
2025-06-26 20:00:00+00:00,BTCUSD_1H,99628.86817981474
2025-06-26 22:00:00+00:00,BTCUSD_1H,99465.0122679835
2025-06-26 23:00:00+00:00,BTCUSD_1H,99470.5800999835
2025-06-27 00:00:00+00:00,BTCUSD_1H,99604.10063498351
2025-06-27 12:00:00+00:00,BTCUSD_1H,99614.47959698351
2025-06-27 13:00:00+00:00,BTCUSD_1H,99546.35306198351
2025-06-27 14:00:00+00:00,BTCUSD_1H,99656.9716839835
2025-06-27 18:00:00+00:00,BTCUSD_1H,99591.3628179835
2025-06-28 06:00:00+00:00,BTCUSD_1H,99414.97948198483
2025-06-28 07:00:00+00:00,BTCUSD_1H,99444.42664198483
2025-06-28 08:00:00+00:00,BTCUSD_1H,99397.68799798483
2025-06-28 11:00:00+00:00,BTCUSD_1H,99393.44537398482
2025-06-28 12:00:00+00:00,BTCUSD_1H,99376.64234998483
2025-06-28 15:00:00+00:00,BTCUSD_1H,99428.78661798484
2025-06-28 17:00:00+00:00,BTCUSD_1H,99432.64777798484
2025-06-28 18:00:00+00:00,BTCUSD_1H,99373.54876998483
2025-06-28 19:00:00+00:00,BTCUSD_1H,99365.00600240246
2025-06-28 20:00:00+00:00,BTCUSD_1H,99393.39149240247
2025-06-29 00:00:00+00:00,BTCUSD_1H,99314.96647863083
2025-06-29 03:00:00+00:00,BTCUSD_1H,99265.00506942971
2025-06-29 08:00:00+00:00,BTCUSD_1H,99214.96904860064
2025-06-29 09:00:00+00:00,BTCUSD_1H,99307.31566660064
2025-06-29 10:00:00+00:00,BTCUSD_1H,99426.18095860064
2025-06-29 11:00:00+00:00,BTCUSD_1H,99577.44043060065
2025-06-29 12:00:00+00:00,BTCUSD_1H,99445.09303360064
2025-06-29 19:00:00+00:00,BTCUSD_1H,99165.00684935565
2025-06-29 20:00:00+00:00,BTCUSD_1H,99179.42028735565
2025-06-29 21:00:00+00:00,BTCUSD_1H,99091.82735335565
2025-06-29 23:00:00+00:00,BTCUSD_1H,99114.9731053809
2025-06-30 00:00:00+00:00,BTCUSD_1H,99285.7048483809
2025-06-30 01:00:00+00:00,BTCUSD_1H,99185.9025933809
2025-06-30 02:00:00+00:00,BTCUSD_1H,99183.3746693809
2025-06-30 03:00:00+00:00,BTCUSD_1H,99192.0840133809
2025-06-30 04:00:00+00:00,BTCUSD_1H,99103.3483453809
2025-06-30 06:00:00+00:00,BTCUSD_1H,99065.004232132
2025-06-30 07:00:00+00:00,BTCUSD_1H,99042.68004413201
2025-06-30 08:00:00+00:00,BTCUSD_1H,99092.95129013201
2025-06-30 09:00:00+00:00,BTCUSD_1H,99112.329280132
2025-06-30 10:00:00+00:00,BTCUSD_1H,99031.290247132
2025-06-30 11:00:00+00:00,BTCUSD_1H,99023.93404613201
2025-06-30 12:00:00+00:00,BTCUSD_1H,99063.73095413201
2025-06-30 13:00:00+00:00,BTCUSD_1H,99093.31840313201
2025-06-30 14:00:00+00:00,BTCUSD_1H,99420.06291413201
2025-06-30 18:00:00+00:00,BTCUSD_1H,99219.87480113201
2025-06-30 19:00:00+00:00,BTCUSD_1H,99014.97591970814
2025-07-01 04:00:00+00:00,BTCUSD_1H,98965.0163960792
2025-07-01 05:00:00+00:00,BTCUSD_1H,98941.92163207919
2025-07-01 06:00:00+00:00,BTCUSD_1H,98956.2488960792
2025-07-01 08:00:00+00:00,BTCUSD_1H,99045.34072407919
2025-07-01 09:00:00+00:00,BTCUSD_1H,99125.8053320792
2025-07-01 10:00:00+00:00,BTCUSD_1H,99155.3997360792
2025-07-01 11:00:00+00:00,BTCUSD_1H,99096.0332400792
2025-07-01 12:00:00+00:00,BTCUSD_1H,99178.6347800792
2025-07-01 14:00:00+00:00,BTCUSD_1H,99417.9197280792
2025-07-01 15:00:00+00:00,BTCUSD_1H,99401.23576007919
2025-07-01 16:00:00+00:00,BTCUSD_1H,99340.0456240792
2025-07-01 17:00:00+00:00,BTCUSD_1H,99263.0973680792
2025-07-01 18:00:00+00:00,BTCUSD_1H,99507.09572407919
2025-07-01 19:00:00+00:00,BTCUSD_1H,99673.56132407919
2025-07-01 21:00:00+00:00,BTCUSD_1H,99485.1419040792
2025-07-01 22:00:00+00:00,BTCUSD_1H,99562.5811400792
2025-07-01 23:00:00+00:00,BTCUSD_1H,99529.6387200792
2025-07-02 00:00:00+00:00,BTCUSD_1H,99673.3742840792
2025-07-02 01:00:00+00:00,BTCUSD_1H,99515.47979207919
2025-07-02 05:00:00+00:00,BTCUSD_1H,98914.97263060011
2025-07-02 06:00:00+00:00,BTCUSD_1H,99101.05341460012
2025-07-02 07:00:00+00:00,BTCUSD_1H,99132.75835860011
2025-07-02 08:00:00+00:00,BTCUSD_1H,99437.87215060012
2025-07-02 09:00:00+00:00,BTCUSD_1H,99396.8849666001
2025-07-02 10:00:00+00:00,BTCUSD_1H,99485.83976660011
2025-07-02 11:00:00+00:00,BTCUSD_1H,99313.33543060011
2025-07-02 12:00:00+00:00,BTCUSD_1H,99263.81608660011
2025-07-02 13:00:00+00:00,BTCUSD_1H,99457.2945346001
2025-07-02 14:00:00+00:00,BTCUSD_1H,99640.27655060012
2025-07-02 15:00:00+00:00,BTCUSD_1H,99917.13107860011
2025-07-02 16:00:00+00:00,BTCUSD_1H,100244.9394786001
2025-07-02 17:00:00+00:00,BTCUSD_1H,100112.82226260011
2025-07-02 18:00:00+00:00,BTCUSD_1H,100300.28131860011
2025-07-02 19:00:00+00:00,BTCUSD_1H,100364.9616546001
2025-07-02 20:00:00+00:00,BTCUSD_1H,100104.5198146001
2025-07-02 21:00:00+00:00,BTCUSD_1H,100240.35461460012
2025-07-02 22:00:00+00:00,BTCUSD_1H,100102.2367586001
2025-07-03 05:00:00+00:00,BTCUSD_1H,100196.1795906001
2025-07-03 06:00:00+00:00,BTCUSD_1H,100245.11762260011
2025-07-03 07:00:00+00:00,BTCUSD_1H,100161.98531860011
2025-07-03 08:00:00+00:00,BTCUSD_1H,100209.3341186001
2025-07-03 09:00:00+00:00,BTCUSD_1H,100474.80149460012
2025-07-03 10:00:00+00:00,BTCUSD_1H,100423.42570260011
2025-07-03 11:00:00+00:00,BTCUSD_1H,100304.35519060011
2025-07-03 13:00:00+00:00,BTCUSD_1H,100634.2825666001
2025-07-03 14:00:00+00:00,BTCUSD_1H,100377.62863060011
2025-07-03 17:00:00+00:00,BTCUSD_1H,100290.88656660011
2025-07-03 18:00:00+00:00,BTCUSD_1H,100353.46199060012
2025-07-04 02:00:00+00:00,BTCUSD_1H,98865.01912207542
2025-07-04 03:00:00+00:00,BTCUSD_1H,98840.22093607542
2025-07-04 04:00:00+00:00,BTCUSD_1H,98958.52265507542
2025-07-04 05:00:00+00:00,BTCUSD_1H,98945.42328107542
2025-07-04 06:00:00+00:00,BTCUSD_1H,98939.29925507541
2025-07-04 07:00:00+00:00,BTCUSD_1H,99084.73343007542
2025-07-04 08:00:00+00:00,BTCUSD_1H,99058.61706807541
2025-07-04 09:00:00+00:00,BTCUSD_1H,98952.64578707542
2025-07-04 10:00:00+00:00,BTCUSD_1H,98995.65127907542
2025-07-04 11:00:00+00:00,BTCUSD_1H,98999.26710907542
2025-07-04 12:00:00+00:00,BTCUSD_1H,99075.15834607542
2025-07-04 13:00:00+00:00,BTCUSD_1H,99421.55486007541
2025-07-04 14:00:00+00:00,BTCUSD_1H,99490.32886207542
2025-07-04 15:00:00+00:00,BTCUSD_1H,99608.14084207542
2025-07-04 16:00:00+00:00,BTCUSD_1H,99581.83224607541
2025-07-04 17:00:00+00:00,BTCUSD_1H,99464.31319407542
2025-07-04 18:00:00+00:00,BTCUSD_1H,99649.98377607542
2025-07-04 19:00:00+00:00,BTCUSD_1H,99659.81517207542
2025-07-04 20:00:00+00:00,BTCUSD_1H,99556.93336607542
2025-07-05 19:00:00+00:00,BTCUSD_1H,98814.97847775316
2025-07-05 22:00:00+00:00,BTCUSD_1H,98833.24924375316
2025-07-05 23:00:00+00:00,BTCUSD_1H,98845.48829975315
2025-07-06 00:00:00+00:00,BTCUSD_1H,98847.82703175316
2025-07-06 01:00:00+00:00,BTCUSD_1H,98846.48665175316
2025-07-06 09:00:00+00:00,BTCUSD_1H,98765.02267106334
2025-07-06 12:00:00+00:00,BTCUSD_1H,98714.97992574655
2025-07-06 13:00:00+00:00,BTCUSD_1H,98958.61175174656
2025-07-06 14:00:00+00:00,BTCUSD_1H,99030.87883374655
2025-07-06 15:00:00+00:00,BTCUSD_1H,99023.08364974656
2025-07-06 16:00:00+00:00,BTCUSD_1H,98992.85422174656
2025-07-06 17:00:00+00:00,BTCUSD_1H,99018.65498774656
2025-07-06 21:00:00+00:00,BTCUSD_1H,99159.73950574656
2025-07-06 22:00:00+00:00,BTCUSD_1H,99169.27105774656
2025-07-06 23:00:00+00:00,BTCUSD_1H,99149.33053374656
2025-07-07 02:00:00+00:00,BTCUSD_1H,99235.96883174655
2025-07-07 03:00:00+00:00,BTCUSD_1H,99245.70357574655
2025-07-07 12:00:00+00:00,BTCUSD_1H,98665.02429230866
2025-07-07 14:00:00+00:00,BTCUSD_1H,98720.68297430866
2025-07-07 15:00:00+00:00,BTCUSD_1H,98686.34558630866
2025-07-07 16:00:00+00:00,BTCUSD_1H,98838.46916630866
2025-07-07 17:00:00+00:00,BTCUSD_1H,98851.96511630865
2025-07-07 18:00:00+00:00,BTCUSD_1H,98815.05773030866
2025-07-07 20:00:00+00:00,BTCUSD_1H,98879.88904430866
2025-07-08 01:00:00+00:00,BTCUSD_1H,98971.66611830865
2025-07-08 02:00:00+00:00,BTCUSD_1H,98930.18164430866
2025-07-08 07:00:00+00:00,BTCUSD_1H,98614.98674965081
2025-07-08 10:00:00+00:00,BTCUSD_1H,98769.4561256508
2025-07-08 11:00:00+00:00,BTCUSD_1H,98738.4120296508
2025-07-08 12:00:00+00:00,BTCUSD_1H,98833.14790165081
2025-07-08 13:00:00+00:00,BTCUSD_1H,98865.78636565081
2025-07-08 17:00:00+00:00,BTCUSD_1H,98844.24857365081
2025-07-08 18:00:00+00:00,BTCUSD_1H,98929.33068565081
