archetype_a,archetype_b,co_fire_count,mean_fwd_72h_pct,median_fwd_72h_pct,win_rate_72h,mean_fwd_168h_pct
trap_within_trend,wick_trap,598,0.5712849842631486,0.550136800824752,58.19397993311036,1.3761489445203272
liquidity_sweep,wick_trap,114,0.7972598183902626,0.7952302581286874,59.64912280701754,1.3303921255677364
liquidity_sweep,trap_within_trend,107,0.9122976524773618,0.7542864637748004,59.813084112149525,1.5483215656553588
retest_cluster,wick_trap,22,-1.7079214312557323,-1.1674196734185627,40.909090909090914,-0.9515570038524253
retest_cluster,trap_within_trend,21,-1.4689878559607021,-0.36811676139368865,47.61904761904761,-1.1190133186554898
liquidity_sweep,retest_cluster,9,3.1019857134833106,3.004252092285653,77.77777777777779,3.1961174541653357
spring,trap_within_trend,8,-0.4431318453959124,-0.8425227167470573,37.5,-1.4467986933419164
spring,wick_trap,8,1.0065509210459178,-0.6035117096235942,50.0,0.26700691976018487
funding_divergence,liquidity_sweep,6,-1.6526096374335146,-1.8319334160068923,33.33333333333333,0.0006872111765828433
funding_divergence,wick_trap,4,-0.35445006586018735,-2.1814396059373187,25.0,6.9239923182948635
liquidity_sweep,spring,3,7.202982438021836,11.205274619391492,66.66666666666666,7.056587484697367
retest_cluster,spring,2,-6.19596315761608,-6.19596315761608,0.0,-10.005630274471327
funding_divergence,trap_within_trend,2,2.4165107815890376,2.4165107815890376,50.0,11.906430742098273
funding_divergence,spring,1,-3.6591878853166726,-3.6591878853166726,0.0,-1.1354475386602392
liquidity_sweep,liquidity_vacuum,1,-1.5772015018322705,-1.5772015018322705,0.0,5.8020801757539875
