ts,yr,real,rand,excess,jit,event
2020-01-11 22:00:00+00:00,2020,3584.9973729324274,1136.301879542552,2448.6954933898755,3587.2750190496918,False
2020-01-26 00:00:00+00:00,2020,2121.526706800565,845.0847562403044,1276.4419505602607,2319.5461372968034,False
2020-02-19 22:00:00+00:00,2020,-416.7730436620677,-503.68551844302766,86.91247478095994,-1331.1239065153993,False
2020-03-08 16:00:00+00:00,2020,-2616.831258789916,2327.519232591065,-4944.350491380981,-2951.3042232453577,False
2020-05-10 01:00:00+00:00,2020,5884.811622981268,1259.8089822674247,4625.002640713843,871.0006828381461,False
2020-05-15 02:00:00+00:00,2020,1295.1071425892237,1014.359580855013,280.74756173421076,574.1337227262612,False
2020-05-22 16:00:00+00:00,2020,-2303.247219143587,446.38954903913964,-2749.6367681827264,-1766.341590506899,False
2020-06-02 15:00:00+00:00,2020,290.1295087750555,-379.6208370806801,669.7503458557355,33.33379311868854,False
2020-06-22 17:00:00+00:00,2020,-1419.7730476571269,-82.01327401316891,-1337.759773643958,-304.96722458095826,False
2020-07-31 01:00:00+00:00,2020,3119.6525504360275,450.89219823988094,2668.7603521961464,2816.4793443389804,False
2020-08-07 14:00:00+00:00,2020,-1716.6499976573737,723.0183509203383,-2439.668348577712,-1237.6904439661519,False
2020-09-02 11:00:00+00:00,2020,-2640.6748292139055,-252.38358044806418,-2388.2912487658414,-2194.285249852908,False
2020-10-18 20:00:00+00:00,2020,1758.6502523590366,1197.4863652270585,561.1638871319781,2049.601279815756,False
2020-10-21 15:00:00+00:00,2020,974.9983449069301,1185.9871342400736,-210.98878933314347,2313.6939444329637,False
2020-10-28 12:00:00+00:00,2020,96.21541189635126,1138.0189774681712,-1041.80356557182,-25.60566580145367,False
2020-11-05 11:00:00+00:00,2020,2366.7975886651516,-55.927132617242975,2422.7247212823945,1660.1433999189687,False
2020-11-07 15:00:00+00:00,2020,-2344.4057896520194,1590.295172788759,-3934.7009624407783,987.0700810904906,False
2020-11-11 11:00:00+00:00,2020,1606.4319503263027,2617.607281214191,-1011.1753308878883,2193.139140461746,False
2020-11-13 16:00:00+00:00,2020,3688.478200803474,1754.529513639008,1933.948687164466,3667.4846071195857,False
2020-11-19 14:00:00+00:00,2020,3425.896075674847,1805.8620943177968,1620.0339813570502,1342.1156378648102,False
2020-11-25 11:00:00+00:00,2020,-2570.2175792524504,2570.827245610841,-5141.044824863291,-1527.7488142341915,False
2020-11-28 14:00:00+00:00,2020,3604.0833333130886,603.9513204189577,3000.1320128941306,4567.092092555508,False
2020-12-03 12:00:00+00:00,2020,-1757.7684543636237,2858.486992084815,-4616.255446448438,-890.9695419580049,False
2020-12-08 23:00:00+00:00,2020,2114.8531764090744,1295.8797830076608,818.9733934014137,-617.2525944210621,False
2020-12-17 18:00:00+00:00,2020,230.58313049126951,1421.0476328133036,-1190.4645023220341,2311.379219329006,False
2020-12-24 23:00:00+00:00,2020,4469.051360720928,1125.132104269863,3343.919256451065,5086.947314511489,False
2020-12-30 20:00:00+00:00,2020,5955.642942899045,2478.15370084559,3477.489242053455,5315.221850826499,False
2021-01-04 10:00:00+00:00,2021,11190.158313731285,521.6220551727669,10668.536258558517,1984.5687646896324,False
2021-01-07 18:00:00+00:00,2021,-5294.461682574025,652.049222159678,-5946.510904733703,-2343.8038689274604,False
2021-02-27 23:00:00+00:00,2021,4921.044590534706,-268.4313386156517,5189.475929150358,1736.8183524534745,False
2021-03-11 14:00:00+00:00,2021,3100.3469853102238,663.7232057740522,2436.6237795361717,2503.2987791113974,False
2021-03-22 01:00:00+00:00,2021,-2612.1510331830223,350.307694735052,-2962.458727918074,-3050.504930297364,False
2021-03-24 20:00:00+00:00,2021,3111.678750364657,1180.690894954269,1930.987855410388,991.6386557085435,False
2021-03-28 19:00:00+00:00,2021,2880.2143751864387,768.6889285214345,2111.525446665004,2255.5896006998623,False
2021-03-31 08:00:00+00:00,2021,-654.6756862929426,159.85617911632528,-814.5318654092679,-436.1153701902758,False
2021-08-03 05:00:00+00:00,2021,5181.881875939746,-295.3214121834534,5477.2032881232,3463.923879380755,False
2021-08-12 12:00:00+00:00,2021,2812.358481374724,922.5016856619495,1889.8567957127743,896.5191396402433,False
2021-08-22 13:00:00+00:00,2021,885.9392172758712,1457.4424788244005,-571.5032615485293,-1930.3353623146952,False
2021-08-29 04:00:00+00:00,2021,1595.4096460696758,631.92662971805,963.4830163516258,-618.965972566776,False
2021-09-20 12:00:00+00:00,2021,-4708.593118503384,768.6240490561484,-5477.217167559533,-1769.389620983923,False
2021-10-09 20:00:00+00:00,2021,1424.6392098797942,1769.7520291680817,-345.1128192882875,1673.3103092075798,False
2021-10-19 20:00:00+00:00,2021,-2348.1297899326287,1309.5109738949627,-3657.6407638275914,719.3264728877726,False
2021-10-27 08:00:00+00:00,2021,2225.1623197704307,1204.7136484823623,1020.4486712880685,72.06620313900108,False
2021-11-16 10:00:00+00:00,2021,-1248.2479708430183,-361.17001103429254,-887.0779598087257,-3176.914846191665,False
2022-02-17 09:00:00+00:00,2022,-2132.741573857961,254.5105035658143,-2387.2520774237755,-2447.612942780456,False
2022-03-04 20:00:00+00:00,2022,3241.5688121737167,468.42317289775144,2773.145639275965,-691.6122189777849,True
2022-04-25 07:00:00+00:00,2022,1998.2520798237508,-1244.6261639770182,3242.8782438007693,-1381.4873237048523,False
2022-05-07 22:00:00+00:00,2022,-1600.011087608254,-255.07061110137118,-1344.9404765068828,-2415.599141416185,False
2022-07-25 03:00:00+00:00,2022,-2847.658742769614,797.1690444105719,-3644.827787180186,-1417.2396138838023,False
2022-07-29 16:00:00+00:00,2022,-979.9231433836019,546.3961903385427,-1526.3193337221446,-1862.8071199668204,False
2022-08-07 23:00:00+00:00,2022,1160.325164540507,-829.2516023344218,1989.576766874929,271.4738344364605,False
2022-10-28 14:00:00+00:00,2022,-141.60259167779492,163.61332205990158,-305.2159137376965,-440.6607163634267,False
2022-12-05 05:00:00+00:00,2022,-1645.0084613203462,-253.9292476633842,-1391.079213656962,-129.18772690624527,False
2023-01-03 15:00:00+00:00,2023,443.3949207337606,1066.0248940792221,-622.6299733454615,656.6256300646514,False
2023-01-18 16:00:00+00:00,2023,4317.143738259398,1491.4540457591354,2825.689692500262,1941.6334604152096,False
2023-01-23 11:00:00+00:00,2023,789.1064274911281,1380.8872577486945,-591.7808302575664,231.92744777575535,False
2023-01-31 14:00:00+00:00,2023,1325.800535340734,1293.1852794790077,32.61525586172638,1733.3161628434775,False
2023-02-03 08:00:00+00:00,2023,-568.5189258898021,-60.66980656321027,-507.8491193265918,-1470.694930847502,True
2023-02-08 16:00:00+00:00,2023,-1158.2836839338893,-293.07971490907363,-865.2039690248157,-1545.1757369903917,False
2023-02-09 20:00:00+00:00,2023,549.5173727556742,-499.05210741897315,1048.5694801746472,-245.6698139124775,False
2023-02-20 10:00:00+00:00,2023,-2335.3335047498513,-148.20079587003076,-2187.1327088798207,-2037.9466195634748,False
2023-02-26 19:00:00+00:00,2023,-1152.9750152388933,-367.1569587247305,-785.8180565141629,-409.8266168987399,False
2023-03-13 16:00:00+00:00,2023,5649.191914070852,639.3143336229934,5009.877580447859,4819.382183025035,False
2023-03-24 21:00:00+00:00,2023,1728.5330441012277,660.7854741063808,1067.7475699948468,-264.200929388644,False
2023-04-13 15:00:00+00:00,2023,-1282.8746883915228,330.6275334628758,-1613.5022218543986,-1137.5944607263148,False
2023-04-26 13:00:00+00:00,2023,-2426.0357165900923,39.38090571154415,-2465.4166223016364,443.10947674840753,False
2023-04-27 19:00:00+00:00,2023,-3004.154803734811,324.19379412262003,-3328.3485978574313,-1734.8985100014233,False
2023-05-08 18:00:00+00:00,2023,-1996.1358662578473,-601.2443985785396,-1394.8914676793077,-1751.1076916561422,False
2023-06-23 16:00:00+00:00,2023,-1522.5620238032811,-441.0344014929939,-1081.5276223102874,357.5845891168149,False
2023-07-03 16:00:00+00:00,2023,-1154.7961863759194,-346.30012923201934,-808.4960571439001,-745.8268857713674,False
2023-07-12 16:00:00+00:00,2023,1349.4673310580936,-400.2873259825383,1749.7546570406319,812.5346756917851,True
2023-08-17 16:00:00+00:00,2023,-1574.632932325022,-166.357272297136,-1408.275660027886,-840.5850673462725,False
2023-09-14 12:00:00+00:00,2023,1078.1413770181555,193.0269281689978,885.1144488491577,1286.4264947780584,False
2023-10-15 21:00:00+00:00,2023,1506.7766828179138,1317.7694306672672,189.00725215064654,1585.9660318499873,False
2023-10-19 15:00:00+00:00,2023,1260.9652673874464,1072.939925985695,188.02534140175135,2613.8202081517616,False
2023-10-22 23:00:00+00:00,2023,2029.5079808557002,477.0489122030097,1552.4590686526906,2959.093258460225,False
2023-10-23 18:00:00+00:00,2023,4511.312911505199,851.985017457934,3659.3278940472646,2233.2876734723636,False
2023-10-26 14:00:00+00:00,2023,108.48082723655571,1204.1402674520066,-1095.6594402154508,-206.94196981414902,False
2023-11-09 17:00:00+00:00,2023,-857.1302498895935,520.7971854697973,-1377.927435359391,-862.8262012696523,False
2023-11-17 15:00:00+00:00,2023,1372.2114991617354,336.48040438548685,1035.7310947762485,907.8764709102894,False
2023-11-26 12:00:00+00:00,2023,-615.4253162083869,245.57503218419666,-861.0003483925835,303.01428790006275,False
2023-11-27 11:00:00+00:00,2023,1219.7893122011633,280.90268962000636,938.8866225811569,1120.2782471815297,False
2023-11-29 15:00:00+00:00,2023,3091.5842968504153,614.0994271707503,2477.484869679665,2675.1029105272887,False
2023-12-07 09:00:00+00:00,2023,-1331.936233927261,-90.84749797668086,-1241.08873595058,-1383.5188210568647,False
2023-12-11 02:00:00+00:00,2023,242.12871721972755,-286.2279566898686,528.3566739095961,-429.1845875442796,False
2024-01-03 12:00:00+00:00,2024,2713.4668172750185,-196.86863531927457,2910.335452594293,972.457925610515,False
2024-01-10 18:00:00+00:00,2024,-2965.6042244634973,-155.25649793093615,-2810.347726532561,-2518.7229606176425,False
2024-01-14 20:00:00+00:00,2024,-1147.7698010082722,23.02987308092088,-1170.799674089193,-1686.1659653157947,False
2024-01-19 19:00:00+00:00,2024,-2646.4722233479006,108.06031359392281,-2754.5325369418233,-1984.0519476973395,False
2024-02-26 17:00:00+00:00,2024,3260.991996240476,1347.7012980182183,1913.2906982222578,3052.349068219262,False
2024-03-04 01:00:00+00:00,2024,2149.026839173852,513.265721594488,1635.7611175793638,1148.189377281626,False
2024-03-05 05:00:00+00:00,2024,-4164.355629622789,-494.4002050765181,-3669.955424546271,-637.8076453588873,False
2024-03-08 16:00:00+00:00,2024,2347.3005069259325,-822.5620720515011,3169.8625789774337,1843.6460802289566,True
2024-03-12 17:00:00+00:00,2024,-2907.1032030481692,-408.2737237489865,-2498.829479299183,-2607.0009332159593,True
2024-03-28 13:00:00+00:00,2024,-2019.3923149481138,-271.9861901163222,-1747.4061248317917,-1260.8568273387539,False
2024-05-26 21:00:00+00:00,2024,747.181772350173,291.8203347147049,455.36143763546806,-371.79751701634,False
2024-07-04 09:00:00+00:00,2024,-3150.491176515862,509.1796072199383,-3659.6707837358003,-1544.008468290481,False
2024-07-12 14:00:00+00:00,2024,3347.4963102635747,-452.68553559302563,3800.1818458566004,3496.071305717632,False
2024-08-05 01:00:00+00:00,2024,5705.314057914391,2.9010044381606575,5702.413053476231,2340.5143731437042,False
2024-09-16 13:00:00+00:00,2024,1514.5423456031247,-181.61431476922928,1696.156660372354,1087.2737794542306,False
2024-10-11 16:00:00+00:00,2024,2273.8792249644016,160.2321762759463,2113.6470486884555,1740.2271567912858,False
2024-10-29 17:00:00+00:00,2024,-1697.3529707460668,362.80766517375594,-2060.1606359198227,-1080.8966569808501,False
2024-11-01 19:00:00+00:00,2024,4017.873056168471,1419.2396999899076,2598.633356178563,134.9287141595352,True
2024-11-09 17:00:00+00:00,2024,1731.3333127857206,1684.207820492959,47.12549229276169,2267.7467008818717,False
2024-11-12 10:00:00+00:00,2024,2494.713381089121,1194.5765528144573,1300.1368282746637,1594.4085040020573,False
2024-11-20 14:00:00+00:00,2024,976.7743614903793,1630.7380778490203,-653.963716358641,1332.1641044363557,False
2024-11-22 16:00:00+00:00,2024,-2041.9488797472839,1301.3697206740937,-3343.3186004213776,-1952.8703441768664,False
2024-12-02 04:00:00+00:00,2024,-1633.3810486444218,765.8600579735487,-2399.24110661797,819.8515837681417,False
2024-12-05 20:00:00+00:00,2024,-3201.804502505451,-429.24956087757164,-2772.5549416278795,-1426.787934987053,False
2024-12-19 18:00:00+00:00,2024,-3005.3667746190426,290.83103886933515,-3296.197813488378,-938.1835835434732,False
2024-12-22 15:00:00+00:00,2024,1422.5870416006064,-121.55751044423391,1544.1445520448403,-406.7090540333674,False
2025-01-06 16:00:00+00:00,2025,-2050.8593286313594,413.72542544712303,-2464.5847540784825,-282.3105909566825,False
2025-02-01 20:00:00+00:00,2025,-1226.0246650118474,-62.535227145327156,-1163.4894378665203,-1794.9459153468354,False
2025-05-09 14:00:00+00:00,2025,-35.968820792623575,187.53717848712523,-223.5059992797488,315.55293392253424,False
2025-05-16 16:00:00+00:00,2025,1898.1461575144313,-271.6548294217323,2169.8009869361636,731.2217942639173,False
2025-05-21 15:00:00+00:00,2025,489.53191909626275,61.523566233373494,428.00835286288924,322.1393312298445,False
2025-05-29 14:00:00+00:00,2025,-1561.811069686933,-120.51887467195596,-1441.292195014977,-871.6931447619131,False
2025-06-09 12:00:00+00:00,2025,797.1605740923278,-43.52935745863399,840.6899315509618,-4.379939956606829,False
2025-06-17 00:00:00+00:00,2025,-1839.3565491127608,234.07569640182038,-2073.432245514581,-1094.9128358650607,False
2025-07-10 18:00:00+00:00,2025,1616.9991519093091,-62.262185559121384,1679.2613374684306,1726.5324586983827,False
2025-07-14 16:00:00+00:00,2025,-1062.5352932701094,-135.39184573173316,-927.1434475383762,-507.48303728955716,False
2025-07-20 22:00:00+00:00,2025,569.192461921381,-4.547583641708053,573.740045563089,-585.5886884197531,False
2025-07-28 18:00:00+00:00,2025,-1237.5790307899092,182.20578220125196,-1419.7848129911613,-1154.183093333617,False
2025-08-01 00:00:00+00:00,2025,-786.4150165439419,-216.52104867882082,-569.8939678651211,-786.0301463457831,False
2025-08-06 15:00:00+00:00,2025,2133.464288309574,-259.8486987832829,2393.312987092857,1416.5890966126437,False
2025-08-10 23:00:00+00:00,2025,695.3779172409547,-234.6623206956947,930.0402379366494,321.88171255464187,False
2025-08-15 15:00:00+00:00,2025,-1234.902405159408,-127.36002049239627,-1107.542384667012,-1409.556618083029,False
2025-08-24 20:00:00+00:00,2025,-1661.7778747251098,236.69030900470062,-1898.4681837298103,-1039.7896084560373,False
2025-08-31 01:00:00+00:00,2025,-825.5940779770632,-221.9870697907827,-603.6070081862805,584.8010025096253,False
2025-10-02 13:00:00+00:00,2025,906.609472896866,-878.4573439011247,1785.0668167979907,1222.5696330113094,False
2025-10-05 03:00:00+00:00,2025,-953.7599588557664,-63.66526347591847,-890.094695379848,-356.7635020692487,False
2025-10-07 16:00:00+00:00,2025,-1532.0170850893674,58.16768488410996,-1590.1847699734774,-1530.1842104406003,False
2025-10-10 19:00:00+00:00,2025,-2040.5101602966974,-350.6237532837477,-1689.8864070129498,-528.39496921539,False
2025-12-30 15:00:00+00:00,2025,1236.8375207388394,-92.77958504161936,1329.6171057804588,1081.8006894075888,False
