timestamp,open,high,low,close,volume
1712880000,70020.71,71265.74,65110.31,67148.61,1000
1712966400,67148.62,69100,60822.01,64024.77,1000
1713052800,64021.36,65890.91,62150,65777.05,1000
1713139200,65764.56,66928.82,62315.08,63452.18,1000
1713225600,63452.18,64400,61645.09,63814.94,1000
1713312000,63814.94,64524.14,59648.33,61279.36,1000
1713398400,61275.73,64210,60816.07,63513.85,1000
1713484800,63514.84,65498.99,59573.32,63848.37,1000
1713571200,63841.96,65463.08,63121.15,64968.87,1000
1713657600,64960.82,65725.81,64250,64952.92,1000
1713744000,64952.92,67272.73,64520,66859.17,1000
1713830400,66856.07,67225.66,65823.66,66414.16,1000
1713916800,66418,67077.97,63542.56,64255.78,1000
1714003200,64255.77,65287.69,62747.18,64484.44,1000
1714089600,64484.44,64810,63287.76,63742.39,1000
1714176000,63742.39,63900,62389,63422,1000
1714262400,63422.34,64333.33,62743.81,63108.94,1000
1714348800,63109.76,64200,61741.01,63844.85,1000
1714435200,63845.01,64727.81,59040.3,60622.1,1000
1714521600,60621.2,60785.49,56500,58265.59,1000
1714608000,58267.81,59641.03,56903.79,59071.89,1000
1714694400,59070.3,63365.72,58821.05,62913.03,1000
1714780800,62913.03,64546,62565.82,63902.88,1000
1714867200,63902.88,64636.75,62908.34,64023.45,1000
1714953600,64023.45,65523.44,62704.48,63162.24,1000
1715040000,63161.35,64415.06,62252.64,62315.76,1000
1715126400,62315.75,63013.05,60851.04,61169.53,1000
1715212800,61169.53,63424.14,60601.6,63073.57,1000
1715299200,63073.55,63470,60150,60787.47,1000
1715385600,60787.99,61482,60450.13,60814.63,1000
1715472000,60814.64,61843.45,60576.05,61453.02,1000
1715558400,61453.01,63456.18,60738.51,62932.37,1000
1715644800,62927.44,63103.02,61024.51,61539.84,1000
1715731200,61539.7,66480,61299.57,66244.69,1000
1715817600,66244.68,66772.83,64588.5,65252.18,1000
1715904000,65252.17,67500,65113.46,67046.33,1000
1715990400,67046.34,67407.79,66624.06,66923.87,1000
1716076800,66923.87,67701.91,65852.02,66261.62,1000
1716163200,66260.04,71560.9,66057.03,71432.17,1000
1716249600,71432.16,71980,69146.01,70142.84,1000
1716336000,70142.88,70659.99,68887.52,69109.93,1000
1716422400,69109.93,70066.95,66259,67940.45,1000
1716508800,67932.79,69278.75,66587.91,68547.8,1000
1716595200,68545.52,69605.03,68487.44,69289.67,1000
1716681600,69289.69,69522,68097.38,68473.72,1000
1716768000,68470.8,70613.39,68210.12,69368.72,1000
1716854400,69366.31,69533.96,67194.59,68321.98,1000
1716940800,68321.99,68864.11,67081.66,67569.45,1000
1717027200,67569.44,69536.89,67092.91,68338.58,1000
1717113600,68338.58,69024.71,66584.47,67472.41,1000
1717200000,67473.07,67837.33,67371.28,67719.29,1000
1717286400,67719.29,68411,67260,67735.52,1000
1717372800,67731.14,70295.78,67568,68791,1000
1717459200,68791.04,71108.9,68542.37,70542.32,1000
1717545600,70541.68,71804.13,70356.49,71121.11,1000
1717632000,71120.65,71650.56,70093.98,70773.64,1000
1717718400,70773.63,71974.04,68298.55,69324.53,1000
1717804800,69326.71,69546.58,69126.22,69304.05,1000
1717891200,69303.8,69848.94,69123.99,69637.87,1000
1717977600,69641.08,70187.53,69141.51,69497.73,1000
1718064000,69495.97,69547.82,66018.69,67316.53,1000
1718150400,67316.52,70032,66883.32,68248.6,1000
1718236800,68248.59,68474.49,66200,66738.85,1000
1718323200,66746.46,67322.72,65005,66004.39,1000
1718409600,66004.36,66428.57,65800.86,66192,1000
1718496000,66192,66931.18,65999,66628.75,1000
1718582400,66629.38,67274.96,65050,66481.81,1000
1718668800,66481.81,66574.33,64010.01,65152.8,1000
1718755200,65150.9,65709.26,64635.48,64943.79,1000
1718841600,64945.67,66455.52,64500,64840.88,1000
1718928000,64840.89,65017.1,63300.93,64120.28,1000
1719014400,64120.28,64523.91,63910.01,64235.01,1000
1719100800,64235,64499.95,63125.75,63171.43,1000
1719187200,63169.36,63343.91,58414.28,60263,1000
1719273600,60262.16,62400,60217.36,61789.71,1000
1719360000,61794.47,62470,60656.8,60816.68,1000
1719446400,60818.86,62346.16,60546.94,61615.39,1000
1719532800,61611.43,62170.62,59868,60313.35,1000
1719619200,60312.36,61122.66,60273.8,60885.67,1000
1719705600,60884.44,62942.67,60611.01,62668.26,1000
1719792000,62669.14,63801.26,62448.46,62830.13,1000
1719878400,62830.94,63223.57,61000,62040.22,1000
1719964800,62039.44,62197.01,59332.76,60145.01,1000
1720051200,60145.01,60429.27,56709.73,57042.14,1000
1720137600,57036.45,57515.6,53499.9,56639.43,1000
1720224000,56634.53,58481.97,56020.32,58244.75,1000
1720310400,58240.36,58448.89,55717.23,55854.09,1000
1720396800,55852.61,58200,54278.93,56699.43,1000
1720483200,56701.18,58295.31,56276.37,58047.86,1000
