name,choch_against.bars_confirm,momentum_fade.drop_pct,time_stop.bars_max,elapsed_s,success,trades,win_rate,expectancy,max_dd,sharpe,exits_total,exits_choch,exits_mom,exits_time,exits_none
conservative,2,0.45,72,39.13,True,37,0.32432432432432434,-690.4168391717694,110199.353587268,-0.5802163523286502,3300,0,0,0,3300
aggressive,1,0.25,48,37.75,True,37,0.32432432432432434,-690.4168391717694,110199.353587268,-0.5802163523286502,3300,0,0,0,3300
balanced,2,0.35,72,39.34,True,37,0.32432432432432434,-690.4168391717694,110199.353587268,-0.5802163523286502,3300,0,0,0,3300
fast_choch,1,0.45,96,39.85,True,37,0.32432432432432434,-690.4168391717694,110199.353587268,-0.5802163523286502,3300,0,0,0,3300
fast_momentum,3,0.25,48,43.32,True,37,0.32432432432432434,-690.4168391717694,110199.353587268,-0.5802163523286502,3300,0,0,0,3300
