tag,threshold,elapsed_sec,trades,win_rate,profit_factor,avg_R,max_dd,expectancy,avg_entry_score,avg_hold_bars,avg_mfe_R,avg_mae_R,avg_win,avg_loss,entries
baseline_no_exits,0.15,23.627,33,0.3636,,,106984.4881,-592.7781,,,,,534.2828,-12.8325,2003
baseline_no_exits,0.17,23.148,33,0.3636,,,106984.4881,-592.7781,,,,,534.2828,-12.8325,2003
baseline_no_exits,0.19,24.144,33,0.3636,,,106984.4881,-592.7781,,,,,534.2828,-12.8325,2003
baseline_no_exits,0.21,22.071,33,0.3636,,,106984.4881,-592.7781,,,,,534.2828,-12.8325,2003
baseline_no_exits,0.23,19.527,33,0.3636,,,106984.4881,-592.7781,,,,,534.2828,-12.8325,2003
baseline_no_exits,0.25,19.519,33,0.3636,,,106984.4881,-592.7781,,,,,534.2828,-12.8325,2003
baseline_no_exits,0.27,19.495,33,0.3636,,,106984.4881,-592.7781,,,,,534.2828,-12.8325,2003
baseline_no_exits,0.29,19.227,33,0.3636,,,106984.4881,-592.7781,,,,,534.2828,-12.8325,2003
baseline_no_exits,0.31,19.588,33,0.3636,,,106984.4881,-592.7781,,,,,534.2828,-12.8325,2003
baseline_no_exits,0.33,20.388,33,0.3636,,,106984.4881,-592.7781,,,,,534.2828,-12.8325,2003
baseline_no_exits,0.35,21.142,33,0.3636,,,106984.4881,-592.7781,,,,,534.2828,-12.8325,2003
baseline_no_exits,0.37,22.864,33,0.3636,,,106984.4881,-592.7781,,,,,534.2828,-12.8325,2003
baseline_no_exits,0.39,22.092,33,0.3636,,,106984.4881,-592.7781,,,,,534.2828,-12.8325,2003
baseline_no_exits,0.41,22.438,33,0.3636,,,106984.4881,-592.7781,,,,,534.2828,-12.8325,2003
baseline_no_exits,0.43,19.767,33,0.3636,,,106984.4881,-592.7781,,,,,534.2828,-12.8325,2003
baseline_no_exits,0.45,19.861,33,0.3636,,,106984.4881,-592.7781,,,,,534.2828,-12.8325,2003
