tag,threshold,elapsed_sec,trades,win_rate,profit_factor,avg_R,max_dd,expectancy,avg_entry_score,avg_hold_bars,avg_mfe_R,avg_mae_R,avg_win,avg_loss,entries
baseline_no_exits,0.15,21.806,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.17,21.314,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.19,20.874,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.21,18.753,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.23,18.774,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.25,18.643,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.27,18.631,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.29,19.299,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.31,18.604,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.33,21.81,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.35,21.997,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.37,21.637,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.39,21.593,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.41,21.047,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.43,21.485,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.45,21.573,0,0.0,,,0.0,0.0,,,,,,,0
