ts,symbol,equity
2025-04-06 00:00:00+00:00,BTCUSD_4H,9999.10658445615
2025-04-07 00:00:00+00:00,BTCUSD_4H,9998.944181596093
2025-04-08 00:00:00+00:00,BTCUSD_4H,9998.741325664485
2025-04-09 00:00:00+00:00,BTCUSD_4H,9998.595204292369
2025-04-10 00:00:00+00:00,BTCUSD_4H,9998.406991850881
2025-04-11 00:00:00+00:00,BTCUSD_4H,9998.234567539552
2025-04-12 00:00:00+00:00,BTCUSD_4H,9972.836791942893
2025-04-13 00:00:00+00:00,BTCUSD_4H,9943.804634624143
2025-04-14 00:00:00+00:00,BTCUSD_4H,9953.978185488604
2025-04-15 00:00:00+00:00,BTCUSD_4H,9944.250379636522
2025-04-16 00:00:00+00:00,BTCUSD_4H,9964.2019594788
2025-04-17 00:00:00+00:00,BTCUSD_4H,9960.429789134112
2025-04-18 00:00:00+00:00,BTCUSD_4H,9950.45535819167
2025-04-19 00:00:00+00:00,BTCUSD_4H,9950.090797384884
2025-04-20 00:00:00+00:00,BTCUSD_4H,9946.729983982957
2025-04-21 00:00:00+00:00,BTCUSD_4H,9922.547726201074
2025-04-22 00:00:00+00:00,BTCUSD_4H,9911.159839242442
2025-04-23 00:00:00+00:00,BTCUSD_4H,9851.83120172916
2025-04-24 00:00:00+00:00,BTCUSD_4H,9857.655193561106
2025-04-25 00:00:00+00:00,BTCUSD_4H,9997.60250658387
2025-04-26 00:00:00+00:00,BTCUSD_4H,9997.224301327647
2025-04-27 00:00:00+00:00,BTCUSD_4H,9996.826514600321
2025-04-28 00:00:00+00:00,BTCUSD_4H,9996.44045306336
2025-04-29 00:00:00+00:00,BTCUSD_4H,9996.059364125786
2025-04-30 00:00:00+00:00,BTCUSD_4H,9995.6228799516
2025-05-01 00:00:00+00:00,BTCUSD_4H,9995.22828842743
2025-05-02 00:00:00+00:00,BTCUSD_4H,9994.839662619228
2025-05-03 00:00:00+00:00,BTCUSD_4H,9994.486332651903
2025-05-04 00:00:00+00:00,BTCUSD_4H,9994.118059899482
2025-05-05 00:00:00+00:00,BTCUSD_4H,9993.729164679673
2025-05-06 00:00:00+00:00,BTCUSD_4H,9993.314564656963
2025-05-07 00:00:00+00:00,BTCUSD_4H,9992.837387418293
2025-05-08 00:00:00+00:00,BTCUSD_4H,9992.407200080454
2025-05-09 00:00:00+00:00,BTCUSD_4H,9992.040920417956
2025-05-10 00:00:00+00:00,BTCUSD_4H,9991.594645699039
2025-05-11 00:00:00+00:00,BTCUSD_4H,9991.185697260335
2025-05-12 00:00:00+00:00,BTCUSD_4H,9990.767319287103
2025-05-13 00:00:00+00:00,BTCUSD_4H,9990.47305336389
2025-05-14 00:00:00+00:00,BTCUSD_4H,9990.125960452058
2025-05-15 00:00:00+00:00,BTCUSD_4H,9989.752272706906
2025-05-16 00:00:00+00:00,BTCUSD_4H,9989.37783456771
2025-05-17 00:00:00+00:00,BTCUSD_4H,9989.023704474423
2025-05-18 00:00:00+00:00,BTCUSD_4H,9988.661182129526
2025-05-19 00:00:00+00:00,BTCUSD_4H,9988.32463877487
2025-05-20 00:00:00+00:00,BTCUSD_4H,9988.025482847768
2025-05-21 00:00:00+00:00,BTCUSD_4H,9987.649228919805
2025-05-22 00:00:00+00:00,BTCUSD_4H,9987.308743774847
2025-05-23 00:00:00+00:00,BTCUSD_4H,9986.874480470024
2025-05-24 00:00:00+00:00,BTCUSD_4H,9986.590067760077
2025-05-25 00:00:00+00:00,BTCUSD_4H,9986.254228266522
2025-05-26 00:00:00+00:00,BTCUSD_4H,9985.933095650154
2025-05-27 00:00:00+00:00,BTCUSD_4H,9985.555836053321
2025-05-28 00:00:00+00:00,BTCUSD_4H,9985.180956869244
2025-05-29 00:00:00+00:00,BTCUSD_4H,9984.846763566395
2025-05-30 00:00:00+00:00,BTCUSD_4H,9951.82490407932
2025-05-31 00:00:00+00:00,BTCUSD_4H,9914.09030485045
2025-06-01 00:00:00+00:00,BTCUSD_4H,9925.584251414915
2025-06-02 00:00:00+00:00,BTCUSD_4H,9932.961972756726
2025-06-03 00:00:00+00:00,BTCUSD_4H,9943.808926763004
2025-06-04 00:00:00+00:00,BTCUSD_4H,9944.382790880005
2025-06-05 00:00:00+00:00,BTCUSD_4H,9936.232043670974
2025-06-06 00:00:00+00:00,BTCUSD_4H,9895.269114983223
