ts,symbol,tf,action,price,size,fee,pnl,reasons,reason
2025-02-17 00:00:00+00:00,BTCUSD_4H,1D,enter_short,96163.779096,0.014945369337439757,0.28744063909473777,0.0,4.0,
2025-02-18 00:00:00+00:00,BTCUSD_4H,1D,enter_short,96161.989812,0.018040748897259234,0.34696686233181856,0.0,4.0,
2025-02-19 00:00:00+00:00,BTCUSD_4H,1D,enter_short,95631.362148,0.018687906094873707,0.35742998310933677,0.0,4.0,
2025-02-22 00:00:00+00:00,BTCUSD_4H,1D,enter_short,96272.085756,0.019679151120137284,0.37891058484862805,0.0,4.0,
2025-02-23 00:00:00+00:00,BTCUSD_4H,1D,enter_short,96404.57273999999,0.0201314989511489,0.38815371100025353,0.0,4.0,
2025-02-24 00:00:00+00:00,BTCUSD_4H,1D,enter_short,95394.546912,0.02087477846641353,0.39826800673837864,0.0,4.0,
2025-02-25 00:00:00+00:00,BTCUSD_4H,1D,enter_short,92123.43588,0.01887418709550258,0.3477509929359311,0.0,4.0,
2025-02-26 00:00:00+00:00,BTCUSD_4H,1D,enter_short,88751.4852,0.01754174496758661,0.3113711837745875,0.0,4.0,
2025-02-27 00:00:00+00:00,BTCUSD_4H,1D,enter_short,85094.508576,0.016281856615457897,0.2770993174794569,0.0,4.0,
2025-02-28 00:00:00+00:00,BTCUSD_4H,1D,enter_short,80322.148284,0.014536534776686634,0.23352114037370936,0.0,4.0,
2025-03-01 00:00:00+00:00,BTCUSD_4H,1D,enter_short,85268.86880400001,0.013208160227814346,0.22524897632154248,0.0,4.0,
2025-03-02 00:00:00+00:00,BTCUSD_4H,1D,enter_short,85783.19299200001,0.012822001675652443,0.21998244885724824,0.0,4.0,
2025-03-03 00:00:00+00:00,BTCUSD_4H,1D,enter_short,92635.86082799999,0.011097922199443295,0.20561311526952014,0.0,4.0,
2025-03-04 00:00:00+00:00,BTCUSD_4H,1D,enter_short,83896.32804,0.009650737068150193,0.1619322805794633,0.0,4.0,
2025-03-05 00:00:00+00:00,BTCUSD_4H,1D,enter_short,86775.276,0.009130086648435185,0.15845315776437563,0.0,4.0,
2025-03-06 00:00:00+00:00,BTCUSD_4H,1D,enter_short,91574.20566,0.008792443322026248,0.16103220260502507,0.0,4.0,
2025-03-07 00:00:00+00:00,BTCUSD_4H,1D,enter_short,86943.18880799999,0.00817012535306613,0.14206735023133124,0.0,4.0,
2025-03-08 00:00:00+00:00,BTCUSD_4H,1D,enter_short,85856.98346399999,0.008064624834228757,0.13848087220714841,0.0,4.0,
2025-03-09 00:00:00+00:00,BTCUSD_4H,1D,enter_short,86054.0646,0.008051057506403466,0.13856524455087174,0.0,4.0,
2025-03-10 00:00:00+00:00,BTCUSD_4H,1D,enter_short,81987.172008,0.007631653657241067,0.1251395402203411,0.0,4.0,
2025-03-11 00:00:00+00:00,BTCUSD_4H,1D,enter_short,79462.672212,0.007454660488670035,0.11847344857258696,0.0,4.0,
2025-03-12 00:00:00+00:00,BTCUSD_4H,1D,enter_short,82069.629012,0.007593656909902346,0.12464172108801919,0.0,4.0,
2025-03-13 00:00:00+00:00,BTCUSD_4H,1D,enter_short,83523.53721600001,0.00787297162727238,0.13151568774219935,0.0,4.0,
2025-03-14 00:00:00+00:00,BTCUSD_4H,1D,enter_short,81843.129648,0.008200062789052213,0.13422376039322817,0.0,4.0,
2025-03-15 00:00:00+00:00,BTCUSD_4H,1D,enter_short,84468.469092,0.008592161984347535,0.14515335380166342,0.0,4.0,
2025-03-16 00:00:00+00:00,BTCUSD_4H,1D,enter_short,84291.100068,0.00872816649152146,0.14714135102939996,0.0,4.0,
2025-03-17 00:00:00+00:00,BTCUSD_4H,1D,enter_short,83624.58678,0.009563168140988423,0.1599431968195635,0.0,4.0,
2025-03-18 00:00:00+00:00,BTCUSD_4H,1D,enter_short,83095.09866,0.01089835277625417,0.18111993983486505,0.0,4.0,
2025-03-21 00:00:00+00:00,BTCUSD_4H,1D,enter_short,84387.201612,0.013175312400773428,0.22236554877303022,0.0,4.0,
